nome	mail	web	tel	fax	ind	info
IOTTI ATTREZZ. ZOOTECNICHE S.a.s.	info@iottiabbeveratoi.it	www.iottiabbeveratoi.it	0039 0522 511373	0039 0522 518522	Via Melegari, 31/C42124 REGGIO EMILIA (RE)Italia	Produzione e vendita mangiatoie ed abbeveratoi
AGRI-ZOO SAN MARINO S.r.l.	info@agri-zoo.com	www.agri-zoo.com	0039 0549 901171	0039 0549 901918	Strada di Paderna, 7847895 DOMAGNANO ( )SAN MARINO	L'azienda importa e distribuisce prodotti e marchi per il cavallo e il cavaliere. Prodotti per una semplice gestione della scuderia e del paddock.
PESSASTUDIO HORSE TECNOLOGY S.r.l. UNIPERSONALE	annapessa@hotmail.com	www.pessastudio.eu	0039 349 0543098		Via Garibaldi 2835043 MONSELICE (PD)Italia	Ostacoli, recinzioni fisse e mobili, rettangoli dressage, giostre per cavalli, tondini coperti, tapis roulants
OMAN - ROYAL CAVALRY	sultanalkindi@yahoo.co.uk	www.gallopsofoman.com	00968 99267330	00968 24432117	70 - 111 MUSCAT , 111 ( )OMAN	Horse ceremonial events
C.T.F. PARTNERS &amp; ASSOCIATI S.r.l.	info@ctfpartners.it		0039 02 9689224		Via S. Giuseppe 13121047 SARONNO (VA)Italia	Produzione ferri da cavallo
GROWI - GROßEWINKELMANN GmbH &amp; Co. KG	info@growi.de	www.growi.de	0049 5244 9301 60	0049 5244 9301 25	Wortstr. 34 - 3633397 RIETBERG-VARENSELL ( )GERMANIA	Attrezzature per Scuderie e Allevamenti - Armadi Selleria - Box Cavalli - Beverino - Carriola - Carrello Mangime - Ostacoli - Fences - Panels Stable and paddock technology - Horse boxes - Saddle cabinets - Drinking bowls - Wheel barrows - feeding trolleys - Fences - Panels -- Obstacles
SELLERIA EQUIPE S.r.l.	info@selleriaequipe.it	www.selleriaequipe.it	0039 0445 446748	0039 0445 459672	Via Gasdotto 1636078 VALDAGNO (VI)Italia	Selle, briglie ed accessori per cavalli Saddles and Tack - Horse-riding accessories
PHYTOCEUTICALS LTD	mail@phytoceuticals.ch	www.phytoceuticals.ch	0041 434991566	0041 434991567	Zollikerstrasse, 448008 ZURICH ( )SVIZZERA	Fitoterapia per cavalli - Farmaceutici per uso veterinario - Prodotti terapeutici - Medicinali e prodotti farmaceutici Phytotherapy for horses - Veterinary pharmaceuticals - Treatment products - Medical and pharmaceutical products
PRB S.r.l.	info@prb-sm.com	www.prb-sm.com	0039 0549 908303	0039 0549 908303	Via G. Castaldio, 1147899 SERRAVALLE ( )SAN MARINO	Produzione di veicoli elettrici, biciclette a pedalata assistita, Mountain Bike, corsa, trekking
CONSORZIO TURISTICO LEVANTE	info@consorzioturisticolevante.it	www.consorzioturisticolevante.it	0039 0971 68091		Austin Center85020 SAN NICOLA DI PIETRAGALLA (PZ)Italia	Il Consorzio Turistico del Levante associa innumerevoli operatori della filiera turistica del Sud Italia. Esso ha fra le sue particolarità l'organizzazione di pacchetti turistici all'aria aperta. Infatti, la sua maggiore specializzazione sono le vacanze a contatto con la natura e il mondo equestre. Uno di questi pacchetti è l'IppoVia Herculea, un reticolo di percorsi ippici che portano il cavaliere a scoprire le straordinarie bellezze di una regione per molti versi sconosciuta come è la Basilicata o antica Lucania. The Consorzio Turistico del Levante associates countless tourist operators in southern Italy. It has among its specialties the organization outdoor tour packages. Indeed, it is specialized in holidays in contact with nature and the equestrian world. One of these packages is the Ippovia Herculea, a network of equestrian paths that lead the rider to discover the extraordinary beauty of a region that is unknown in many ways as is the ancient Lucania or Basilicata
IL MIO CAVALLO - CAVALLI&CAVALIERI;	info@ilmiocavallo.it	www.ilmiocavallo.it	0039 02 87388700	0039 02 87399092	Via Tortona, 220144 MILANO (MI)Italia	Stampa tecnica
VALPET S.r.l.	servizio.clienti@valpet.it	www.valpet.it	0039 051 760349	0039 051 6056448	Via Marconi, 4/240057 GRANAROLO DELL'EMILIA (BO)Italia	Produzione di alimenti di altissima qualità per cani, gatti e animali da compagnia. Cruelty free, no OGM, no ormoni.
AGROMIL CEREALI S.r.l.	info@agromil.it	www.agromil.it	0039 0381 95895 - 800251683	0039 0381 95894	Via Cilavegna, 6527020 GRAVELLONA LOMELLINA (PV)Italia	Produzione di lettiere zootecniche a base di lolla di riso sterilizzata
ISI PLAST S.p.A.	isiplast@isiplast.it	www.isiplast.com	0039 0522 733811	0039 0522 642897	Via Modena, 4642015 CORREGGIO (RE)Italia	ISI PLAST S.p.A. produce contenitori ad uso industriale adatti a molteplici esigenze di contenimento, nel rispetto dei criteri di funzionalità e sicurezza. Fa parte dell’ampia gamma anche una linea di trappole ECOLOGICHE e NATURALI per la difesa dagl'insetti come Mosche, Vespe e Zanzare. Il design di tutti i contenitori è stato appositamente studiato affinché essi possano essere movimentati in qualsiasi impianto di riempimento automatico. Oltre ai contenitori sono disponibili anche cassette e barattoli in plastica.
CODY S.r.l. EQUITAZIONE	info@codyequitazione.it	www.codyequitazione.it	0039 049 710894	0039 049 710894	Via Mameli 5435020 ALBIGNASEGO (PD)Italia	Vendita articoli e prodotti per l'equitazione
G23 SRLS	info@gventitre.it	www.gventitre.it	0039 349 7084921	0039 045 6000369	Via Usodimare37138 VERONA (VR)Italia	Nebulizzazione per rinfrescamento e trattamenti vari.
EQUITANA	info@equitana.com	www.equitana.com	0049 211 90191 201	0049 211 90191143	Völklinger Str. 440219 DUSSELDORF ( )GERMANIA	EQUITANA - The equestrian sports world fair! What really makes the Equitana unique is that there are exhibitors from all areas of the equestrian business presenting their products and services as well all sorts of different horse breeds at a glance.You'll find more than 850 exhibitors and 700 hours of show and program.
KRAFT HORSE WALKERS	info@kraft-fuehranlagen.de	www.kraft-fuehranlagen.de	0049 7959 702	0049 7959 2594	Riedwasen 1074586 FRANKENHARDT-HONHARDT ( )GERMANIA	We are the Kraft Horse Walkers. The fitness specialists. Movement has been a key issue for us for many years. As specialists in horse walker systems, we rank among the leading manufacturers worldwide. Our products are used in over 50 countries, on all continents. Excellence in quality and features is our philosophy. Innovation is what drives us forward. Safe and horsefriendly training is the result of our work. Healthy and vital horses are our goal. Kraft ... keeps your horses fit!
FIERA ROMA S.r.l.	info@cavalliaroma.it - sales@cavalliaroma.it	www.cavalliaroma.it	0039 06 65074200	0039 06 65074439	Via Portuense 164500148 ROMA (RM)Italia	Servizi Services
RAMPELMANN &amp; SPLIETHOFF	info@rasplie.de	www.rasplie.de	0049 (0) 2586 9304 0	0049 (0) 2586 9304 30	Greffener Str. 1148361 FRANKENHARDT-HONHARDT ( )GERMANIA	We are Rampelmann & Spliethoff - Established in 1967, Rampelmann & Spliethoff specialise in equine arena maintenance equipment. Sold under their registered trademark PLATZ-MAX, the product range covers various surface configurations on riding areas and race courses. Designed in cooperation with arena builders, always close to the market, PLATZ-MAX equipment satisfies international demands. Our products proved their quality during the Olympic Games in Sydney 2000, Beijing 2008, London 2012, and are exported to over 60 countries. With more than 100 employees, we are an innovative company and a premium partner to the German Olympic Committee for Equestrian Sports, DOKR in Warendorf.
EQUUS DESIGN	mail@equusdesign.de	www.equusdesign.de	0049 (0)2532 9627-0	0049 (0) 2532 9627-28	Graf-Zeppelin-Ring 2848346 FRANKENHARDT-HONHARDT ( )GERMANIA	We are Equus Design - Dedicated to your success. We are pleased to present ourselves as specialists in equestrian facilities and estates - a dynamic company for dynamic customers. Our core competence is the architectural planning, engineering and realization of equestrian riding and stud farm facilities for customers all over the world. Horse-friendly, future-orientated design and economic efficiency are the key attributes of our products. These priorities form the basis for the interaction of all important details, functions and processes in all our projects. Whether you contact us for a horse solarium, a riding mirror or an arena kickboard - you are in the focus of our attention every time we work for you. We listen to your ideas and find unique ways to make them come true. This is our dedication to your success.
BACHER PRODUCTS	office@bacherproducts.de	www.arenagrip.com	0049 (0)6206 13474	0049 (0)6206 59261	Lorscher Str. 1368642 FRANKENHARDT-HONHARDT ( )GERMANIA	We are Bacher Products - Bacher Products is a family-owned and run business with 30 years of experience in the arena construction business. We manufacture the additives to be mixed with the sand for the production of topquality arena footings.
HAVENS HORSEFEED	info@havens.nl	www.horsefeed.nl	0039 335 8043971		Postbus 1NL 5820 AA VIERLINGSBEEK ( )OLANDA	HAVENS produce una linea completa di mangimi pellettati, fioccati e mix per l’alimentazione di fattrici, puledri, cavalli in attività o a riposo, mangimi specifici per cavalli nervosi o per problemi respiratori, digestivi, allergie e intolleranze alimentari. Tutti i mangimi HAVENS sono al 100% naturali ed esclusivamente composti da cereali e materie prime vegetali, fabbricati secondo i più moderni concetti nutritivi.
SIMONETTI ADAMO S.r.l.	info@simonettiplast.com	www.simonettiplast.com	0039 0438 900114	0039 0438 900168	Via Callalta, 5731010 FARRA DI SOLIGO (TV)Italia	Substrato di cocco per lettiera cavalli
ASSOCIAZIONE ITALIANA APPALOOSA	d@teamforyou.net		0039 0421 280252	0039 0421 71955	Via Cavour 930026 PORTOGRUARO (VE)Italia	Associazione di razza Sport/breeding associations - Thoroughbred Associations
BEMER Italia S.r.l.	info@bemer3000-it.com	www.bemer3000-it.com	0039 0461 831042	0039 0461 831025	Via Maccani, 19538121 TRENTO (TN)Italia	Terapia fisica vascolare BEMER per il cavallo - La Terapia fisica vascolare BEMER è un metodo terapeutico unico nel suo genere. Utilizzata in campo umano con grande successo in ogni settore della medicina, BEMER applica la sua tecnologia innovativa anche in ambito veterinario realizzando BEMER 3000 VET. In ambito sportivo la tecnologia BEMER 3000 VET, grazie alla sua azione diretta sul microcircolo, viene applicata in occasione delle sessioni di allenamento per ottimizzare le prestazioni del binomio cavallo–cavaliere e per migliorare la concentrazione e la resistenza alla fatica. BEMER viene realizzata espressamente per il cavallo protagonista nelle varie discipline equestri a complemento delle terapie indicate dal veterinario per velocizzare i processi di guarigione e per ridurre i tempi di convalescenza.
BORGO LA CACCIA HORSES &amp; WINES	info@borgolacaccia.it	www.borgolacaccia.it	0039 030 9916044		VIa Monteroseo 17/B25081 POZZOLENGO (BS)Italia	Borgo La Caccia è allevamento di cavalli da salto ostacoli e azienda vitivinicola. La scuderia e l’allevamento si trovano a Bedizzole in provincia di Brescia. Borgo la Caccia è sinonimo di eccellenza e massima cura di tutti gli aspetti legati alla formazione di cavalli che possano confrontarsi con le migliori produzioni Europee. Oltre all'attività di allevamento, il team di professionisti di Borgo la Caccia si occupa della vendita del materiale seminale degli stalloni di proprietà e degli stalloni selezionati su scala internazionale. Inoltre viene effettuata la preparazione agonistica dei cavalli e la pianificazione del loro percorso di crescita nel circuito di salto ostacoli nazionale ed internazionale. La cantina, si trova a Pozzolengo in provincia di Brescia. I vogneti si estendono su una superficie di 30 Ettari. Le uve a bacca bianca sono principalmente dedicate a vitigni Lugana, mentre fra le uve a bacca rossa si distinguono il Carmenère, il Merlot, il Pinot nero, il Cabernet Sauvignon. Borgo La Caccia studfarm and stables breeds and trains premium showjumping horses, selecting and using only the best bloodlines, top-quality mares and outstanding sires. The stables are located in Bedizzole near Brescia. Borgo la Caccia offers the sale of breeding material from their own stallions and from selected International sires. Borgo La Caccia is also wine estate, the wine cellar is situated in the gentle Morenic hills of Lake Garda. Our winery aims to produce the finest quality grapes and wines in a natural manner. The white grapes are mostly from Lugana and Chardonnay, the red ones are Carmenère, Merlot, Pinot Noir and cabernet Sauvignon.
CONSORZIO CAVALLIVARESE	info@badifarm.com		0039 335 6532803		Via Trento, 1821040 SUMIRAGO (VA)Italia	Vacanze a cavallo nella provincia di Varese Equestrian holidays in Varese lands
METAL SYSTEMS	metalsystems@metalsystems.eu	www.metalsystems.eu	0039 348 2653439	0039 045 6070782	Sede operativa: Via G. Marconi37050 POVEGLIANO V.SE (VR)Italia	Costruzione box, scuderie, recinzioni, tondini e porta rotoballe
AMECO RENEWABLE ENERGY S.r.l.	info@ameco.ro		0040 266 363457	0040 266 363456	Via Principala, 1537130 JOSENI ( )ROMANIA	Lettiere per cavalli Horse litter
LA C2 S.r.l.	cduesrl@gmail.com	www.lacidue.com	0039 02 96329518	0039 02 96328979	Via dei Guasti, 1520826 MISINTO (MI)Italia	Costruzione articoli per equitazione e ostacoli da lavoro e da concorso - Carrelli porta ostacoli e carri porta barriere
S.T.M. S.n.c. di Vicini e Boni	marco@stmsaldatura.it	www.stmsaldatura.it	0039 059 705007	0039 059 705198	Via Pietro Miani, 23641054 MARANO SUL PANARO (MO)Italia	Produzione e vendita di carriole a batteria
AZIENDA AGRICOLA NONNA MARI	info@nonnamari.it	www.nonnamari.it	0039 0365 651611		Via Pizzamala 6/b25080 PUEGNAGO SUL GARDA (BS)Italia	Agriturismo & B&B; con Maneggio - Produzione di olio e frutta
GAL FIOR D'OLIVI	comunicazione@galfiordolivi.it	www.galfiordolivi.it	0039 080 9141505		Via Sarcone 10270038 TERLIZZI (BA)Italia	Masserie didattiche, agriturismi, b&b;, fattorie sociali, prodotti tipici regionali pugliesi, turismo rurale
ACLI TERRA - ASSOCIAZIONE PROFESSIONALE AGRICOLA	info@acliterra.it	www.acliterra.it	0039 06 5840357	0039 06 5840666	Via Marcora 18/2000153 ROMA (RM)Italia	Acli Terra è l’Associazione Nazionale professionale agricola, senza fini di lucro, delle Acli, che opera nel mondo rurale, in tutta Italia, a sostegno dello sviluppo delle persone e dei territori. Persegue obiettivi di promozione, di tutela e di rappresentanza degli operatori agricoli e rurali, anche inoccupati, disoccupati o pensionati. Promuove e attiva progetti e iniziative, anche mediante accordi e convenzioni con altri soggetti sociali, Enti ed Istituzioni, al fine di realizzare numerosi interventi di promozione a favore di quanti operano, a diverso titolo, nel mondo agricolo e di diffondere buone pratiche. Acli Terra riconosce nell’imprenditore agricolo, nella famiglia e nell’associazionismo rurale i protagonisti della crescita culturale, sociale e politica del comparto agricolo nel suo complesso. È impegnata a garantire una rappresentatività reale dei propri associati, sia singoli che organizzati in forme cooperative e consortili, nonché in organizzazioni produttive ed in unioni territoriali. Acli Terra, infatti, sostiene, anche attraverso forme giuridiche peculiari di assistenza tecnica ed organizzativa, i processi di associazionismo territoriale e locale, opera nel quadro di una promozione più ampia volta alla difesa dell’ambiente, della qualità della vita, della garanzia alimentare e della salute, della valorizzazione delle produzioni agricole e delle forme di commercializzazione a tutela degli interessi convergenti di produttori e consumatori. Anche in questa direzione Acli Terra promuove azioni di crescita sociale degli associati attraverso interventi mirati di sostegno, in ambiti quali la formazione, l’informazione, l’assistenza, il patrocinio sociale, l’educazione alla imprenditorialità ed alla cooperazione, nonché l’offerta di un articolato spettro di servizi, di interventi e di opere appropriati agli scopi. Acli Terra è presente, con proprie strutture, su tutto il territorio Nazionale, assicurando tutti i servizi che interessano
FREEJUMP	info@freejumpsystem.com	www.freejumpsystem.com	0033 (0) 5 56440260		12 cours Xavier Arnozan33000 BORDEAUX ( )FRANCIA	Stirrups - Riding shoes and chaps - Softgoods
ARGENTINA	scoto@exportar.org.ar	www.exportar.org.ar	0054 11 41147777		Paraguay 864C1057AAL CAPITAL FEDERAL ( )ARGENTINA	Agenzia di promozione di esportazione
HERRARTE	herrarte.arg@gmail.com	www.herrarte.com.ar	0054 11 47753595		Bonpland 1915CAPITAL FEDERAL ( )ARGENTINA	Jorge Iglesias combina creatividad y técnicas tradicionales para obtener objetos únicos realizados en clavos de herradura y estilizaciones de ellos en peltre y plata 925.
GABRIELA FIORI	gabrielafiori2@yahoo.com.ar	www.gabrielafiori.com	0054 3874921467		Los Arces 3754400 CAPITAL FEDERAL ( )ARGENTINA	Productos hechos a mano en cuero vacuno, oveja, cabritilla, pieles de conejo, piedras ónix en sus diferentes colores. Carteras, bolso, cinturones, billeteras.
LA RURAL S.A. - PREDIO FERIAL DE BUENOS AIRES	dlevato@larural.com.ar	www.larural.com.ar	0054 11 4777-5567	0054 11 4779-5021	Diego LevatoCAPITAL FEDERAL ( )ARGENTINA	Feria Internazionale dei Cavalli e delle Aziende del settore
DE NIRO BOOT CO. by ANNAPAOLA S.r.l.	info@denirobootco.com	www.denirobootco.com	0039 0833 512069	0039 0833 211632	Via Casaranello 473042 CASARANO (LE)Italia	Stivali artigianali  Artigianality boots
REALSTAR S.r.l.	sales@realstar.it	www.realstar.it - www.aquastar.it	0039 051 6816611	0039 051 6814322	Via Verde, 7/D40012 CALDERARA DI RENO (BO)Italia	Macchinari per lavanderia, lavatrici essiccatoi - Impianti e sistemi di lavaggio e cura di articoli per l'equitazione
IL CANTINIERE D'ITALIA S.a.s.	cantiniere@tiscali.it		0039 02 48844053	0039 02 48841789	Via dei Lavoratori 3/a20090 BUCCINASCO (MI)Italia	Vini veneti e spumanti
MUSTANG	marketing@mustang.pl	www.mustang.pl	0048 713133542	0048 713133542	Bazantowa 2/B55200 OLAWA ( )POLONIA	Articles horse riding
DEBUTTO TAILORING S.a.s.	info@debuttoabbigliamento.com	www.debuttoabbigliamento.com	0039 049 8841253	0039 049 8846007	Via Pierobon, 39/4135010 LIMENA (PD)Italia	Camiceria e capi spalla uomo e donna
AEQZ - ARDESI EQUITAZIONE di ARDESI M.	info@ardesiequitazione.it	www.aeqz.it	0039 030 3581324	0039 030 3582732	Via Galvani, 2925020 FLERO (BS)Italia	Ostacoli, giostre, carri, accessori
CENTO FIORI S.r.l. - LINEA UNIKA	gasara2002@libero.it	www.lineaunika.it	0039 051 6515161	0039 051 6515161	Via del Broaldo, 2/340064 LOC. MERCATALE - OZZANO EMILIA (BO)Italia	Produzione e commercializzazione integratori zootecnici e prodotti per uso estetico
GIACOVELLI EQUITAZIONE &amp; CARROZZE	info@giacovellisport.com	www.giacovellisport.com	0039 392 7519908	0039 080 4346471	Piazza Marconi70010 LOCOROTONDO (BA)Italia	Equitazione e carrozze Equitacion and carriage
PORTMANN Outdoor	sales@cedarclothing.co.uk	www.cedarclothing.co.uk	0044 1215582420	0044 1215582421	126A Oldbury RoadB66 IJE SMETHWICK ( )GRAN BRETAGNA	Made in England - Town & Country Clothing and Accessories - Equestrian - Fishing - Hunting - Shooting - Waterproof Clothing - Wax jackets & wax mantels - Tweed Jackets & Tweed Blazers
DA.MA S.n.c. di GIUNCHI DAVIDE &amp; C.	davide.giunchi@ricamiverona.it	www.ricamiverona.it	0039 338 5069659	0039 0541 648926	Via Panoramica 2447838 RICCIONE (RN)Italia	Articoli personalizzati: grembiuli e bavaglini
RI.MOS. S.r.l. MEDICAL PRODUCTS	info@rimos.com	www.rimos.com	0039 0535 25755	0039 0535 25509	Viale Gramsci 2941037 MIRANDOLA  (MO)Italia	Presidi medico chirurgici
I LOVE MY HORSE	info@blugarda.it	www.blugarda.it	0039 348 8800097	0039 045 6446812	Via Dolci 31/A37019 PESCHIERA DEL GARDA (VR)Italia	Oggettistica - Abbigliamento Decorative articles - Clothing
THOMA'S SADDLERY	tsaddlery@tin.it	www.thomassaddlery.it - on line shop	0039 0575 649938	0039 0575 649938	Località Farniole 2b52045 BETTOLLE (SI)Italia	Abbigliamento - Integratori - Articoli da equitazione - Selleria Supplements - Saddle containers - Fodder - Supplements - Cleaning and beauty products for horses - Mineral salts
VERSARI QUINTO	quinto.versari@alice.it		0039 348 7135087		Via Mazzini47032 BERTINORO (FC)Italia	Bombons per cavalli Horse treats
D'ARIENZO S.r.l.	matteodarienzo@libero.it	www.darienzocollezioni.it	0039 0825 581040	0039 0825 581040	Viale Principe Amedeo 1383029 SOLOFRA (AV)Italia	Produzione abbigliamento in pelle e pellicceria
ELEPHANTSBOOKS	info@elephantsbooks.it	www.elephantsbooks.it	0039 045 8580988	0039 045 3194032	Via Roma, 10637066 CASELLE DI SOMMACAMPAGNA (VR)Italia	Stampa specializzata  Trade press
EQUICK	nicola@malaica.it	www.equick.it	0039 335 276779	0039 0423 84692	Via Dell'Industria, 7531041 CORNUDA (TV)Italia	Prodotti per la salute, la bellezza e la protezione del cavallo Protection, beauty & health care Rroducts
ISA IMPIANTI S.r.l.	isaimpianti@isaimpianti.com	www.isaimpianti.com	0039 045 6670105	0039 045 6670101	Via San Giuseppe 26/B37060 ERBE' (VR)Italia	Coperture per maneggi e campi allenamento, ricoveri fieno e ricoveri attrezzi, capannoni e tunnel
TENTATION di PALUMBO GAETANO	nei1617@yahoo.it		0039 0431 430844	0039 0431 439439	Corso del Sole 20530020 BIBIONE (VE)Italia	Abbigliamento in pelle ed accessori
I CASHMERISSIMI	icashmerissimi@libero.it	www.icashmerissimi.it	0039 0573 534250	0039 0573 536444	Via Nannetti 12751100 PISTOIA (PT)Italia	Maglieria in puro e misto Cashmere
SELLERIA USUELLI WESTERN	paolousuelli@hotmail.it	www.selleriausuelli.com	0039 348 7360396	0039 039 9277090	Via Castello, 3120882 BELLUSCO (MB)Italia	Selleria e abbigliamento western Saddlery - Clothing
BOCKMANN FAHRZEUGWERKE GmbH	info@boeckmann.de	www.boeckmann.de	0049 4472 8950	0049 4472 895550	Industriegebiet Siehefeld49688 LASTRUP ( )GERMANIA	Horse trailers and utility trailers
ORIZO CONSULT LINE S.r.l.	orizo@orizo.it	www.orizo.it	0039 0423 301608	0039 0423 301931	Via Feltrina Nuova 4931044 TIMISOARA ( )ROMANIA	Calzature sportive, equitazione, caccia, pesca e abbigliamento Hats - Gaiters - Shoes - Knapsacks - Clothing
SELLERIA PONTE PRIULA di GALLON G. CARLO S.a.s.	selleriapontepriula@tiscali.it		0039 0438 27552	0039 0438 27552	Via IV Novembre, 10931058 PONTE DELLA PRIULA DI SUSEGANA (TV)Italia	Vendita al dettaglio
O NATUR' ELLES	contact@onatur-elle.com	www.onatur-elle.com	0033 1 34780805	0033 1 34780807	20 Rue D'en Bas78980 ST ILLIERS LE BOIS ( )FRANCIA	Figurine schleich Bijoux
WOLF SYSTEM S.r.l.	mail@wolfsystem.it	www.wolfsystem.it	0039 0472 064000	0039 0472 064900	Zona Industriale Wolf 139040 CAMPO DI TRENS (BZ)Italia	Scuderie - Maneggi - Capannoni - Stalle - Ricoveri attrezzi - Vasche liquami - Case prefabbricate Riding grounds - Horse stables - Wood prefabs
MASCHERONI S.r.l.	selleria@mascheronistore.it	www.mascheronistore.it	0039 0362 850178	0039 0362 354404	Via Piola, 15/2320833 MILANO  (MI)Italia	Articoli di selleria - Abbigliamento sportivo ippico - Accessori per equitazione - Confezioni moda-sport - Esclusivista selle Cwd Clothing - Horse-riding accessories - Vacuum cleaners and liquid aspirators - Saddle bags - Bridles - Coaches - Antique coaches - Horse-riding helmets - Saddlery containers - Blankets - Riding uniforms - Harness - Jackets - Gloves - Raincoats - Bits - Jodhpurs - Blowguards - Cannon-guards - Racecourse seats - Saddlery - Pads - Undergirths - Spurs - Stirrups - Boots - Clippers - Leg binders - Gaiters - Head Numbers
TRUCIOLI &amp; DERIVATI	info@trucioliederivati.it	www.trucioliederivati.it	0039 045 7335181	0039 045 7335181	Via Zanon 5437063 ISOLA DELLA SCALA (VR)Italia	Trucioli e Segature
SELLERIA EQUI-TIME di Cinzia Ferro	equitimeshop@gmail.com	www.equitimeshop.com	0039 06 30880781	0039 06 30880781	Via Cassia, 200800123 ROMA (RM)Italia	Abbigliamento ed articoli per l'equitazione
KAZO Sarl	kazoyan.olivier@neuf.fr		0033 47 9389722	0033 47 9389722	283, Av. Des J.O.73620 LES SAISIES HAUTELUCE ( )FRANCIA	Giacche impermeabili uomo, donna e bambino
ARTE MAYA	bertuzzievelyn@virgilio.it		0039 0424 702512	0039 0424 702512	Via Pianari 736063 MAROSTICA (VI)Italia	Produciamo borse vintage in jeans e vendiamo alcuni prodotti etnici
TRM	info@trm-ireland.com	www.trm-ireland.com	00353 45 434258	00353 45 434149	Industrial Estate NewbridgeNEWBRIDGE CO.KILDARE ( )IRLANDA	TRM, an Irish manufacturer of equine nutritional supplements based in Co.Kildare, export to over 60 countries worldwide. Our goal is to assist Owners, Trainers and Riders globally to address specific nutritional deficits in equine feed.
PELLETTERIA CERVESE	info@pelletteriacervese.it	www.gass.it	0039 0544 965259	0039 0544 965260	Via Delle Industrie 1348015 MONTALETTO (RA)Italia	Fibbie - Cinture - Borse - Articoli in pelle e cuoio Buckles - Belts - Bags - Leather articles
HKM SPORTS EQUIPMENT GmbH	info@reitsport-hkm.de	www.hkm-sportsequipment.eu	0049 5941 98980	0049 5941 5613	Veldhausener Strasse 24049828 NEUENHAUS ( )GERMANIA	Giacche - Divise per equitazione - Alimentatori per cavalli - Accessori per l'equitazione - Stivali - Attrezzature ippiche - Pantaloni da equitazione - Abbigliamento Jackets - Horse-riding wear - Horse feeders - Horse-riding accessories - Boots - Horse riding equipment - Jodhpurs - Clothing
PALLAORA SONJA	sonja.pallaora@gmail.com		0039 368 8044421		Via Macello Vecchio, 1439012 MERANO (BZ)Italia	Abbigliamento e accessori moda
MACHIAVELLI EXPORT S.n.c.	info@machiavellishop.com	www.machiavellishop.com	0039 055 8711228	0039 055 8711502	Via Carmignanese, 130-14059015 CARMIGNANO (PO)Italia	Articoli di pelletteria
HOBBYLAND S.r.l.	info@hobbyland.eu	www.hobbyland.eu	0039 0331 481115	0039 0331 481123	Via Neglia 320025 LEGNANO (MI)Italia	Fornitura di materiali e attrezzature per la lavorazione artistica del cuoio.
TECNOBLOCK	info@tecnoblock.com	www.tecnoblock.com	0039 0523 825337	0039 0523 825335	Via Donatori di Organi, 329010 CASTELVETRO PIACENTINO (PC)Italia	Prodotti per la sicurezza e dispositivi antifurto per selle, bauli e van
RAZZA PURA S.r.l.	info@razzapura.it	www.razzapura.it	0039 049 8790577	0039 049 640693	Via Canada, 22/B35127 PADOVA (PD)Italia	Abbigliamento intimo tecnico sportivo - Abbigliamento per equitazione - Abbigliamento per il tempo libero - Coperte per cavalli
ROMITELLI SHOES S.r.l.	info@romitellishoes.com	www.romitellishoes.com	0039 0733 530687	0039 0733 835860	Via Carducci 2062015 MONTE SAN GIUSTO (MC)Italia	Calzature (Fabbricante di stivali monta inglese e wester ed anche stivaletti)
S.K. SHOES &amp; BOOTS PVT. LTD.	siddhant@skinternationalmail.com		0091 05122530322	0091 05122530322	13/397 Civil Lines208001 KANPUR ( )INDIA	Riding Boots, Halters, Bridles, Saddles, & Other Equestrian Products.
EQUISAFE	equisafe@t-online.de	www.equi-safe.de	0049 2121392058	0049 2121392059	Oberhaaner Strasse 242653 SOLINGEN ( )GERMANIA	Attrezzature - Stivali  Equipment - Boots
VECCHIO STILE di FLUMINI MANOLO	ivanoflumini@gmail.com		0039 346 3194576 - 328 1070919		Via Santa Caterina 4009100 CAGLIARI (CA)Italia	L'azienda tratta nel settore da oltre 50 anni coltelli tipici tradizionali Sardi.
RUIZ LEMA	jruizlema@virgilio.it		0039 342 5860773		Via Cavour 2556010 ARENA METATO (PI)Italia	Abbigliamento: cappelli cowboys, ponchos messicani, acchiappasogni, statuette in legno,camicie con ricami di cavalli, maglioni per bambini e adulti ecc...
FADBEL BY BELOTTI di BELOTTI FABRIZIO	info@fadbel.com	www.fadbel.com	0039 0322 913187	0039 0322 913187	Via Angelo Toriani 3128010 GARGALLO (NO)Italia	Stivaleria, produzione abbigliamento per cavalli (sottosella, coperte, tende da box, etc..) e cavalieri (pantaloni, giacche, camicie e polo)
FABBRICA FERRO DI CAVALLO	ferro.cavallo@virgilio.it		0039 0733 530143	0039 0733 838958	Via Lelio Basso 862015 MONTE S. GIUSTO (MC)Italia	Stivali da equitazione
T.P.S. S.n.c. di RICCA G. &amp; R.	tps@tpsweb.it	www.tpsweb.it	0039 019 887178	0039 019 2000754	Via Tecci, 6r17047 QUILIANO (SV)Italia	Box, scuderie, prefabbricati in legno
HV POLO.se - Pro Event Europe AB	niklas@hvpolo.se	www.hvpolo.se	0046 766444040		Vaestgotaresan 115757 54 UPPSALA ( )SVEZIA	Wholesaler of equestrian products and riding fashion with brands as HV Polo, Uvex, Imperial Riding, Eurostar and more.
INDIAN RANCH SALOON S.a.s.	indianranchsaloon@libero.it		0039 335 5206467		Via Siese 11/1235037 ESTE (PD)Italia	Ristorazione
